Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N_mean,P_mean,K_mean,ph_mean,temperature_mean,humidity_mean,soil_rainfall_mean,NPK_Index,Rainfall_Fert_Ratio,Log_Area,Log_Production,Season_encoded,Crop_encoded,State_encoded
Rapeseed &Mustard,2004,Rabi,Bihar,83112.0,66877.0,1147.8,9004354.08,17453.52,0.866578947,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00012747165008512748,11.327956406634861,11.110625343005221,2,39,3
Rice,2004,Autumn,Bihar,185695.0,304705.5,1147.8,24727596.07,49569.2,0.788148148,79.89,47.58,39.87,6.425470922140001,23.6893322105,82.2728215389,236.181113594,55.78,4.641777350022147e-05,12.131866206990335,12.627104297204422,0,40,3
Rice,2004,Summer,Bihar,116220.0,166198.0,1147.8,12591274.8,24406.2,1.437407407,79.89,47.58,39.87,6.425470922140001,23.6893322105,82.2728215389,236.181113594,55.78,9.115835585143802e-05,11.6632488299631,12.020941144538211,3,40,3
Rice,2004,Winter,Bihar,185695.0,304705.5,1147.8,24727596.07,49569.2,0.647105263,79.89,47.58,39.87,6.425470922140001,23.6893322105,82.2728215389,236.181113594,55.78,4.641777350022147e-05,12.131866206990335,12.627104297204422,5,40,3
Safflower,2004,Rabi,Bihar,215.0,173.0,1147.8,23293.1,45.15,0.834285714,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.04927427975324224,5.375278407684165,5.159055299214529,2,41,3
Sannhamp,2004,Whole Year,Bihar,4388.0,3532.0,1147.8,475395.92,921.48,0.832962963,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0024144035262155254,8.386856689688234,8.169902647359145,4,42,3
Sesamum,2004,Kharif,Bihar,3516.0,2717.0,1147.8,380923.44,738.36,0.763928571,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0030131960028608297,8.165363632473982,7.907651594711089,1,43,3
Small millets,2004,Kharif,Bihar,6310.0,4892.0,1147.8,683625.4,1325.1,0.788666667,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0016789872363033374,8.75004942158424,8.495560891289124,1,44,3
Sugarcane,2004,Whole Year,Bihar,104189.0,304705.5,1147.8,11287836.26,21879.69,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00010168466939786479,11.553971434406229,12.627104297204422,4,46,3
Sunflower,2004,Kharif,Bihar,16555.0,23429.0,1147.8,1793568.7,3476.55,1.368928571,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0006399528270353809,9.714503852868623,10.061772531501841,1,47,3
Sweet potato,2004,Whole Year,Bihar,4279.0,64343.0,1147.8,463586.86,898.59,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0024759060774369717,8.361708288575842,11.071998968583905,4,48,3
Tobacco,2004,Whole Year,Bihar,16071.0,18659.0,1147.8,1741132.14,3374.91,1.137647059,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0006592258648296132,9.68483390649477,9.834137474401334,4,50,3
Turmeric,2004,Whole Year,Bihar,2823.0,2788.0,1147.8,305843.82,592.83,0.992608696,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.003752883570171304,7.945909598613133,7.933438387627489,4,51,3
Urad,2004,Kharif,Bihar,23960.0,17871.0,1147.8,2595826.4,5031.6,0.742285714,40.02,67.47,19.24,7.13395162948,29.9733396789,65.1184255887,67.8841511832,42.24333333333333,0.00044217115513920535,10.0841827875855,9.790990521308983,1,52,3
Wheat,2004,Rabi,Bihar,185695.0,304705.5,1147.8,24727596.07,49569.2,1.569473684,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,4.641777350022147e-05,12.131866206990335,12.627104297204422,2,53,3
Arhar/Tur,2004,Kharif,Chhattisgarh,52499.0,26879.0,1122.8,5687741.66,11024.79,0.490625,20.73,67.73,20.29,5.794174879790001,27.7417622259,48.0616330847,149.4575638135,36.25,0.00019740696214972566,10.868568448579715,10.199137794637085,1,1,4
Bajra,2004,Kharif,Chhattisgarh,49.0,17.0,1122.8,5308.66,10.29,0.422,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.21146363420633335,3.912023005428146,2.8903717578961645,1,2,4
Bajra,2004,Whole Year,Chhattisgarh,244.0,9682.0,1122.8,26434.96,51.24,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.04247245040467605,5.501258210544727,9.17812704961153,4,2,4
Barley,2004,Rabi,Chhattisgarh,3959.0,3539.0,1122.8,428918.06,831.39,0.815,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.002617743310357903,8.283999304248526,8.17188200612782,2,4,4
Castor seed,2004,Kharif,Chhattisgarh,137.0,50.0,1122.8,14842.58,28.77,0.34625,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.07564212945933528,4.927253685157205,3.9318256327243257,1,8,4
Coriander,2004,Whole Year,Chhattisgarh,4087.0,1011.0,1122.8,442785.58,858.27,0.2475,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0025357588750770177,8.31581113188354,6.919683849847411,4,10,4
